File: test2.txt
------------Properties------------
Number of cities: 51
Number of chromosomes: 500
Number of generations: 1000
Tournament candidates: 3
Crossover type: UOX with bitmask
Crossover rate: 100%
Mutation type: Scramble
Mutation rate: 0%
--------------Results-------------
Average distance of first generation: 1620.214
Average distance of last generation: 1448.5588
Best distance of first generation: 1394.783
Best distance of last generation: 1183.9829
-------Per generation stats-------
151 : Average=1480.8625Best=1268.4509
152 : Average=1474.3202Best=1268.4509
153 : Average=1470.7062Best=1268.4509
154 : Average=1474.6334Best=1268.4509
155 : Average=1477.9785Best=1268.4509
156 : Average=1478.4559Best=1268.4509
157 : Average=1470.2897Best=1268.4509
158 : Average=1474.8313Best=1268.4509
159 : Average=1478.9219Best=1268.4509
160 : Average=1482.6234Best=1268.4509
161 : Average=1477.8799Best=1268.4509
162 : Average=1487.4333Best=1268.4509
163 : Average=1476.5354Best=1268.4509
164 : Average=1478.843Best=1268.4509
165 : Average=1479.3502Best=1268.4509
166 : Average=1474.8756Best=1244.8093
167 : Average=1468.037Best=1244.8093
168 : Average=1469.738Best=1244.8093
169 : Average=1476.8135Best=1244.8093
170 : Average=1476.1906Best=1244.8093
171 : Average=1474.4816Best=1244.8093
172 : Average=1482.3291Best=1244.8093
173 : Average=1479.2723Best=1244.8093
174 : Average=1475.7174Best=1244.8093
175 : Average=1470.0804Best=1244.8093
176 : Average=1479.8094Best=1244.8093
177 : Average=1478.4008Best=1244.8093
178 : Average=1472.3525Best=1244.8093
179 : Average=1469.0856Best=1244.8093
180 : Average=1468.0742Best=1244.8093
181 : Average=1458.1353Best=1244.8093
182 : Average=1454.8647Best=1244.8093
183 : Average=1467.2229Best=1244.8093
184 : Average=1460.7977Best=1244.8093
185 : Average=1458.9855Best=1244.8093
186 : Average=1461.7806Best=1244.8093
187 : Average=1467.2063Best=1244.8093
188 : Average=1465.8994Best=1244.8093
189 : Average=1474.027Best=1244.8093
190 : Average=1476.0955Best=1244.8093
191 : Average=1469.2262Best=1244.8093
192 : Average=1460.5642Best=1244.8093
193 : Average=1459.0032Best=1244.8093
194 : Average=1458.2312Best=1244.8093
